Genre,Netflix,Prime,Disney+
Action,2248,2049,88
Adventure,1364,1166,258
Animation,788,296,146
Biography,580,569,18
Comedy,3967,3004,281
Crime,1496,1423,24
Documentary,720,1895,63
Drama,4959,5437,162
Family,1032,721,430
Fantasy,1057,635,176
History,402,552,16
Horror,884,1878,9
Music,341,487,33
Musical,183,240,84
Mystery,842,983,21
News,15,93,1
Reality-TV,13,11,2
Romance,1884,1691,78
Sci-Fi,853,907,88
Short,275,262,23
Sport,296,246,39
Thriller,2314,2632,16
War,281,446,4
Western,95,450,16
