Language,Netflix,Prime,Disney+
Dutch,21,2,2
English,1757,314,851
French,160,2,34
German,133,2,18
Hebrew,20,1,1
Hindi,44,39,6
Italian,52,7,11
Japanese,587,13,9
Russian,35,1,7
Serbian,3,2,1
Spanish,231,6,31
Telugu,3,1,1
