,Genre,0
5, Action,22
25, Adventure,2
23, Animation,2
20, Arts,2
28, Comeddy,1
6, Comedy,20
7, Culture,14
24, Documentary,2
14, Drama,5
8, Entertainment,14
15, Fantasy,4
11, Horror,7
21, LGBTQ,2
13, Romance,6
10, Sci-fi,9
29, Sports,1
4, Suspense,25
31, Suspense ,1
3,Action,27
19,Adventure,2
18,Animation,3
9,Arts,12
1,Comedy,100
17,Documentary,3
0,Drama,201
22,Fantasy,2
27,Horror,1
2,Kids,31
12,Sci-fi,6
30,Sci-fi ,1
26,Sci-fi comedy,1
16,Sports,3
