,Language,0
7,Deutsch,2
0,English,314
8,French,2
12,Hebrew,1
1,Hindi,39
3,Italiano,7
2,Japanese,13
9,Marathi,2
6,Nederlands,2
10,Russian,1
5,Serbian,2
4,Spanish,6
11,Suomi,1
13,Telugu,1
