,Language,0
123, Ancient (to 1453),1
52,Aboriginal,9
141,Acholi,1
38,Afrikaans,17
58,Albanian,6
50,American Sign Language,10
80,Amharic,3
87,Apache languages,3
13,Arabic,90
102,Aramaic,2
71,Armenian,4
104,Assyrian Neo-Aramaic,2
112,Athapascan languages,1
97,Awadhi,2
117,Azerbaijani,1
60,Basque,6
122,Belarusian,1
33,Bengali,21
79,Bhojpuri,3
55,Bosnian,7
131,Brazilian Sign Language,1
146,British Sign Language,1
49,Bulgarian,10
9,Cantonese,127
48,Catalan,10
22,Chinese,36
147,Cornish,1
143,Creek,1
46,Croatian,12
32,Czech,21
19,Danish,44
64,Dari,5
17,Dutch,47
132,Dyula,1
0,English,10088
83,Esperanto,3
82,Estonian,3
136,Ewe,1
23,Filipino,35
39,Finnish,17
84,Flemish,3
1,French,522
130,French Sign Language,1
148,Fulah,1
78,Gallegan,3
70,Georgian,4
5,German,341
27,Greek,25
103,Guarani,2
56,Gujarati,7
98,Haitian,2
113,Hakka,1
127,Haryanvi,1
134,Hausa,1
67,Hawaiian,5
14,Hebrew,68
3,Hindi,424
119,Hokkien,1
43,Hungarian,14
44,Icelandic,13
45,Indonesian,13
73,Inuktitut,4
66,Irish,5
4,Italian,352
7,Japanese,195
125,Kabyle,1
51,Kannada,10
81,Kazakh,3
65,Khmer,5
74,Kinyarwanda,4
133,Kirghiz,1
62,Klingon,5
10,Korean,126
129,Kudmali,1
105,Kurdish,2
116,Lao,1
18,Latin,47
77,Latvian,3
72,Lingala,4
99,Lithuanian,2
138,Low German,1
140,Luxembourgish,1
96,Macedonian,2
59,Malay,6
25,Malayalam,28
111,Maltese,1
6,Mandarin,268
88,Maori,3
28,Marathi,25
145,Masai,1
86,Maya,3
121,Micmac,1
92,Middle English,3
57,Min Nan,7
90,Mongolian,3
126,More,1
68,Nepali,4
34,None,19
95,North American Indian,2
29,Norwegian,23
139,Nushi,1
149,Nyanja,1
135,Occitan,1
151,Papiamento,1
40,Persian,16
20,Polish,43
15,Portuguese,61
31,Punjabi,22
124,Pushto,1
63,Quechua,5
101,Rajasthani,2
37,Romanian,17
144,Romany,1
8,Russian,157
108,Saami,1
75,Sanskrit,4
137,Scots,1
36,Serbian,18
54,Serbo-Croatian,7
93,Shanghainese,3
120,Sicilian,1
109,Sign Languages,1
69,Sinhalese,4
94,Sioux,3
61,Slovak,6
76,Slovenian,3
118,Somali,1
128,Southern Sotho,1
2,Spanish,493
53,Swahili,8
16,Swedish,58
42,Swiss German,14
21,Tagalog,37
150,Tajik,1
11,Tamil,113
107,Tatar,1
12,Telugu,92
115,Teochew,1
30,Thai,22
91,Tibetan,3
142,Tupi,1
24,Turkish,34
114,Uighur,1
35,Ukrainian,19
26,Urdu,27
47,Vietnamese,12
89,Welsh,3
110,Wolof,1
100,Xhosa,2
41,Yiddish,16
106,Yoruba,2
85,Zulu,3
