,Genre,0
6,Action,88
2,Adventure,258
5,Animation,146
16,Biography,18
1,Comedy,281
13,Crime,24
10,Documentary,63
4,Drama,162
0,Family,430
3,Fantasy,176
18,History,16
20,Horror,9
12,Music,33
8,Musical,84
15,Mystery,21
23,News,1
22,Reality-TV,2
9,Romance,78
7,Sci-Fi,88
14,Short,23
11,Sport,39
19,Thriller,16
21,War,4
17,Western,16
