,Genre,0
7,Action,150
3,Adventure,361
2,Animation,370
16,Biography,24
1,Comedy,496
15,Crime,24
10,Documentary,94
5,Drama,175
0,Family,660
4,Fantasy,241
25,Game-Show,1
19,History,16
21,Horror,8
13,Music,43
9,Musical,123
14,Mystery,32
24,News,1
17,Reality-TV,21
11,Romance,92
6,Sci-Fi,153
8,Short,133
12,Sport,48
23,Talk-Show,2
20,Thriller,16
22,War,4
18,Western,17
