,Language,0
50,Aboriginal,2
54,Afrikaans,2
51,American Sign Language,2
61,Ancient (to 1453),1
10,Arabic,44
85,Assamese,1
77,Bable,1
55,Bengali,2
68,Berber languages,1
66,Brazilian Sign Language,1
64,British Sign Language,1
46,Bulgarian,3
22,Cantonese,11
27,Catalan,6
86,Central American Indian languages,1
79,Chaozhou,1
53,Chechen,2
9,Chinese,47
73,Cornish,1
63,Cree,1
94,Croatian,1
29,Czech,6
18,Danish,20
83,Dari,1
17,Dutch,21
69,East-Greenlandic,1
0,English,1757
93,Esperanto,1
24,Filipino,8
26,Finnish,7
28,Flemish,6
4,French,160
98,Gallegan,1
5,German,133
40,Greek,5
62,Hakka,1
70,Hausa,1
19,Hebrew,20
11,Hindi,44
43,Hokkien,4
39,Hungarian,5
41,Icelandic,4
31,Indonesian,6
42,Irish,4
8,Italian,52
1,Japanese,587
88,Japanese Sign Language,1
71,Khmer,1
36,Klingon,5
2,Korean,284
23,Latin,10
92,Lithuanian,1
89,Luxembourgish,1
34,Malay,5
80,Malayalam,1
6,Mandarin,104
67,Maori,1
21,Min Nan,15
60,Mongolian,2
74,Neapolitan,1
95,Nepali,1
25,None,8
76,Norse,1
20,Norwegian,18
91,Occitan,1
72,Old,1
81,Old English,1
30,Persian,6
16,Polish,26
7,Portuguese,59
75,Pushto,1
90,Quechua,1
35,Romanian,5
14,Russian,35
82,Saami,1
44,Sanskrit,4
87,Scottish Gaelic,1
48,Serbian,3
59,Serbo-Croatian,2
58,Slovak,2
47,Southern Sotho,3
3,Spanish,231
96,Swahili,1
12,Swedish,39
97,Swiss German,1
32,Tagalog,6
56,Tamil,2
49,Telugu,3
13,Thai,36
65,Tlingit,1
99,Tswana,1
15,Turkish,27
78,Uighur,1
57,Ukrainian,2
38,Urdu,5
52,Vietnamese,2
33,Welsh,5
84,Xhosa,1
45,Yiddish,4
37,Zulu,5
