,Genre,0
3,Action,562
25,Adult,5
6,Adventure,445
2,Animation,877
19,Biography,56
1,Comedy,1110
7,Crime,436
12,Documentary,310
0,Drama,1400
9,Family,401
5,Fantasy,537
20,Game-Show,51
16,History,125
13,Horror,186
17,Music,85
22,Musical,45
11,Mystery,348
26,News,5
14,Reality-TV,178
4,Romance,561
10,Sci-Fi,351
15,Short,147
18,Sport,71
23,Talk-Show,23
8,Thriller,425
21,War,49
24,Western,14
