,Genre,0
3,Action,2248
24,Adult,10
6,Adventure,1364
12,Animation,788
14,Biography,580
1,Comedy,3967
5,Crime,1496
13,Documentary,720
0,Drama,4959
8,Family,1032
7,Fantasy,1057
26,Film-Noir,2
27,Game-Show,1
15,History,402
9,Horror,884
16,Music,341
20,Musical,183
11,Mystery,842
22,News,15
23,Reality-TV,13
4,Romance,1884
10,Sci-Fi,853
19,Short,275
17,Sport,296
25,Talk-Show,3
2,Thriller,2314
18,War,281
21,Western,95
