Main Title,Full Review
Hotstar is now Disney+Hotstar,The all new Disney+ Hotstar is best Streaming app I've ever used. It contains the cheapest rates and has lots of contents. Many of the Network providers gives this OTT platform for free with recharges like Jio  Airtel and many more. The best feature is Cricket and Disney Movies. We can watch Ipl here with a Vip subscription and also within it we can watch International movies in our regional languages.   
Felt cheated !,So I got a subscription plan on a monthly basis. While now it asked me to log out and log in again which I did to my notice after endless tries now it doesn’t allow me to log in neither letting my link my mobile number to my account! Doesn’t send otp. And now every month they will charge me without me even watching any shows on Hotstar!     Disgusting website and app ! Don’t cheat people this way!!   
Fraud of Disney + Hotstar VIP OTT platform,Disney+Hotstar OTT platform stream all star tv contents in India. They had advertised that for VIP subscription they will stream all TV programs 12 hours in advance at 6 am daily. On this promise I had subscribed one year fees for VIP membership to watch my Star-Jalsha Bengali TV channels Bengali serials in advance. But actually it was a fake advertisement by Hotstar. Most of the TV serials are streamed only a couple of hours in advance of telecast instead of streaming 12 hours in advance. When I raised complaint to top management Mr. Sunil Rayan President and Head Disney+ Hotstar I have received response from customer support and from Pooja Kumbhare executive with all sorts of bullshit excuses of Covid situation etc. In the same condition another OTT platform Zee5 is streaming all Zee TV programs 24 hours in advance to their club members hours. The same production house(viz. Tent Cinema) who are supplying their contents to Zee5 on time but they default for Hotstar. This shows poor management and high corruption by Disney+ Hotstar management. We the subscriber are the worst sufferer.     DO NOT SUBSCRIBE DISNEY+HOTSTAR OTT STREAMING SERVICE AND GET CHEATED.   
Worsttt adds,This is bundle services i ever seen 20 mins episode 4 time worst add comes no body will buy subscription   
Good for watching sportsother contents not worth,The hotstar app(currently called Disney plus hotstar) is the mobile application of hotstar.com an project of star india in order to online broadcast of sports and other serials(mainly).     Recently I brought the VIP membership of hotstar for Rs 399 they provide free live streaming of sports and hindi and bengali serials and series. The series Special Ops was a good one to watch but others such as Aarya and hostages were not worth watching. The movies released in this lockdown on hotstar are not that bad such as Lootcase or Khuda Hafiz.     But my complete disappointment about the subscription aroused when I wanted to watch Chernobyl series they told me to have another membership of Rs 1399 in order to watch English series.   
Nice app,The app is for people who still want see their favourite star plus shows again. This app is must have for the Indian mums. The only problem with this app is advertisement. Each episode shows atleast 2 to 3 ads and there is no option to skip ad like youtube.     The subscription to VIP is also a bit expensive.   
Hotstar for everything,This app is very good. Usually when I tired and stuck in traffic. I usually use hotstar for time pass. It has so many things like tc serials movies some live streams. After few days you will need to install hotstar because India ka tyohar ( IPL) will coming. And honestly I always used hotstar to see my favourite serials and movies for free. But if you want something expensive then go to buy VIP packages. Also add one thing in this u can download video in hotstar app to see video anyway at that time even it's possible when you are not connected to Internet and wifi.   
Hotstar is commendable for the daily…,Hotstar is commendable for the daily soaps and the movies. Also Hotstar premium is worth a shot for all GOT buffs! Come on it's just 365/year that's just like Rs 1per day definitely worth it. Yeah the variety of content is limited compared to its competitors but it's okay!   
BEST APP EVER,-In all apps of entertainment this app is king of the all. I used this app when I was using smart phone.     -All types of entertainment in this app like as-     WEB SERIES     MOVIE     KIDS CHANNEL     LIVE TV     SPORT CHANNEL etc.     -I watched IPL every year on this platform. Mangal mission Angregi medium chi chore dil bechara such type of movies I watched.     -Subscription is not drill whole in pocket. So I recommended this app in your top listed app.   
ALL TELUGU MYTHOLOGYS DELETED WHY,I am really very much frustated by hotstar app from past 15 days previously I used to love this app so much but now MYTHOLOGY part was deleted in telugu language I am unable to watch mahabaratham radhakrishna janakiramudu.     BUT     NOW at present july11 2020 I am able to see every mythology serial in hindi kannad .all other languages .but not in telugu     why this hotstar app deleted all those mytgology serials in TELUGU language?     hotstar main admins can you please comethrough this drawback and upload in telugu language as soon as possible     APART from mythology in telugu remianing everything is AWESOME .     Thankyou.   
Not Happy,Earlier since 1 year back I used to watch all starplus serials on Hotstar on my way back to home from office. It was really fun without any network issues but now there is always some error and also now to watch episode of the same day we have to opt for VIP hotstar by paying some amount it is really very bad. You cannot watch the new episode of the same day on common hotstar but the next day the previous episode you can watch the same for free. VIP is simply a good earning technique for them.   
Very Good Streaming service,Hello everyone     I will be sharing my experience and my review on Disney+ Hotstar. It was just Hotsar but after getting merged with Disney it has become Disney+ Hotstar. It's a streaming service where you can enjoy different TV shows of different Channels movies latest and old released films Hotstar original TV series and the live sports available in different languages. The Hotstar VIP pack now cost Rs 400 /- annually and the Hotstar Premium cost around Rs 1500/- annually. The only difference between the two-pack is that in the premium pack gives more Hollywood movies series and Disney+ content.     I have purchased the bio pack and almost a year I am enjoying the service. A very budget-friendly pack it's like spending just more than 1rs daily. The streaming quality is just awesome no interruption on the live news channel and on. My mom's watching her serials from the first episode which is not possible on the cable and dish tv.     A very nice and clean user interface with a perfect animation. Never faced any issues with the service.     A very nice streaming app.   
Low customer satisfaction,An application for people to watch sports series serial shows and movies online.I have been using hotstar for more than two years for watching cricket and television shows but after sometime the streaming was only available to paid users(VIP customers) which charges a high rate of money as hotstar is owned by Disney and the name was changed to Disney+ Hotstar.The membership is a headache for most of the people in the globe as they have to pay to watch videos online on this platform.   
Good content provider,Hot star one of favorite because it's very popular and good content also providing mostly different categories types of videos and Documentaries movies everything providing mostly i am using and subscription plans are less and providing quality content and best category documentaries are awesome i like mostly in this site and consuming data not highly and some improvements needed when i play videos it takes lot time opening and it buffering and some times screen can not rotate and stuck also and overall good   
Not worth,Most of the times you want to see any movie over there it will show 402or some error occurred. Useless. Please don't be fooled by paying for this.   
